TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_TRIM_CP_RUDDER_RESET;P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
356.84;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12527;0.0;0.0;0.0;0.0;0.053558;0.06427000000000001;0.06427000000000001;-0.010712;0.0;1.0;0.0;1.0;0.0;0.14302;0.07094400000000001;-0.069214;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9687.132128660805;248.17753983031474;;0;
356.85;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;0.06804;0.11261;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9687.334822853665;248.17930526753918;;0;
356.86;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;0.11783;-0.032135000000000004;0.0;1.0;0.0;1.0;0.0;0.06804;0.097971;-0.070367;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9687.537430858572;248.18106990669656;;0;
356.87;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;0.010712;0.010712;0.0;1.0;0.0;1.0;0.0;0.10611;0.10698;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9687.73995266033;248.18283374770186;;0;
356.88;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12527;0.0;0.0;0.0;0.0;0.053558;0.06427000000000001;0.053558;0.0;0.0;1.0;0.0;1.0;0.0;0.049583;0.14865;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9687.942388243744;248.18459679047012;;0;
356.89;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.06427000000000001;0.010712;0.010712;0.0;1.0;0.0;1.0;0.0;0.10611;0.088962;-0.069214;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9688.144737593619;248.18635903491648;;0;
356.9;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;0.0;0.021423;0.0;1.0;0.0;1.0;0.0;0.059965;0.07094400000000001;-0.069214;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9688.347000694757;248.18812048095594;;0;
356.91;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12527;0.0;0.0;0.0;0.0;0.06427000000000001;0.096405;0.032135000000000004;0.010712;0.0;1.0;0.0;1.0;0.0;0.10611;0.12612;-0.070367;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9688.549177531964;248.18988112850352;;0;
356.92;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;0.042847;0.010712;0.0;1.0;0.0;1.0;0.0;0.077269;0.13513;-0.070367;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9688.751268090044;248.19164097747438;;0;
356.93;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;-0.032135000000000004;0.042847;0.0;1.0;0.0;1.0;0.0;0.10611;0.07094400000000001;-0.06806;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9688.953272353796;248.19340002778358;;0;
