TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuFpaSelect;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AdaptSpdKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;FCU_AdaptRangeFo40Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
395.84;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.0;0.0;0.0;0.0;0.07498200000000001;0.10712;0.053558;0.10712;0.0;1.0;0.0;1.0;-0.023092;-0.0045044;-0.062291999999999986;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5712.630714684453;209.8434928534045;;0;
395.85;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.56542;0.0;0.0;0.0;0.0;0.10712;0.096405;0.07498200000000001;0.10712;0.0;1.0;0.0;1.0;-0.0046346;-0.037161;-0.063446;0.020114;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5713.14344274376;209.84391532427776;;0;
395.86;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.55913;0.0;0.0;0.0;0.0;0.08569299999999999;0.10712;-0.053558;0.16068;0.0;1.0;0.0;1.0;-0.041549;-0.018018;-0.063446;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5713.656199699938;209.84433722481424;;0;
395.87;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.56542;0.0;0.0;0.0;0.0;0.11783;0.08569299999999999;0.042847;0.11783;0.0;1.0;0.0;1.0;-0.06115900000000001;-0.032657;-0.061139;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5714.168985553714;209.84475855501134;;0;
395.88;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5685600000000001;0.0;0.0;0.0;0.0;0.10712;0.10712;0.042847;0.10712;0.0;1.0;0.0;1.0;-0.07961599999999999;-0.055179;-0.061139;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5714.681800305824;209.8451793148665;;0;
395.89;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5685600000000001;0.0;0.0;0.0;0.0;0.10712;0.096405;0.13925;0.07498200000000001;0.0;1.0;0.0;1.0;-0.07961599999999999;0.0;-0.063446;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5715.194643957;209.8455995043771;;0;
395.9;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.0;0.0;0.0;0.0;0.08569299999999999;0.10712;-0.032135000000000004;0.14995999999999998;0.0;1.0;0.0;1.0;-0.075002;0.0033783000000000003;-0.061139;0.020114;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5715.707516507972;209.8460191235406;;0;
395.91;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.56542;0.0;0.0;0.0;0.0;0.10712;0.11783;0.032135000000000004;0.12854000000000002;0.0;1.0;0.0;1.0;-0.075002;-0.013513;-0.063446;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5716.220417959476;209.84643817235434;;0;
395.92;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5685600000000001;0.0;0.0;0.0;0.0;0.096405;0.11783;0.042847;0.12854000000000002;0.0;1.0;0.0;1.0;-0.041549;-0.073196;-0.062291999999999986;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5716.733348312243;209.8468566508158;;0;
395.93;0.0;0.0;9000.0;9000.0;0.0;10.0;14.0;38.0;1.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.0;0.0;0.0;0.0;0.10712;0.10712;0.06427000000000001;0.10712;0.0;1.0;0.0;1.0;-0.086538;-0.073196;-0.063446;0.019003;0.0;1.0;1.0;26.194000000000006;26.194000000000006;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1.8;1800.0;136.0;90.0;136.0;1.0;4.0;8.0;210.0;210.0;18.0;0.0;0.0;1.0;29.91;0.0;1.0;1.0;0.0;0.0;5717.246307567002;209.84727455892235;;0;
