TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeCpt80Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo160Nm;FCU_AdaptRangeFo20Nm;FCU_AdaptRangeFo40Nm;FCU_AdaptRangeFo80Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
294.76;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;0.25708000000000003;-0.08569299999999999;0.0;1.0;0.0;1.0;-0.07269500000000001;0.0;-0.0646;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.445816082487;250.0;;0;
294.77;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44595;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;0.20352;-0.053558;0.0;1.0;0.0;1.0;-0.041549;-0.0090088;-0.06806;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.533524146196;250.0;;0;
294.78;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44909;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;0.2785;-0.096405;0.0;1.0;0.0;1.0;-0.0046346;-0.018018;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.621192581186;250.0;;0;
294.79;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44909;0.0;0.0;0.0;0.0;0.07498200000000001;0.06427000000000001;0.22495;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.0046346;-0.029279000000000006;-0.06690700000000001;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.708821383221;250.00000000000003;;0;
294.8;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44595;0.0;0.0;0.0;0.0;0.096405;0.06427000000000001;0.24637;-0.08569299999999999;0.0;1.0;0.0;1.0;-0.003481;-0.073196;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.796410548059;250.0;;0;
294.81;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.08569299999999999;0.06427000000000001;0.23566;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.070388;-0.073196;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.883960071464;250.0;;0;
294.82;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;0.24637;-0.08569299999999999;0.0;1.0;0.0;1.0;-0.070388;-0.073196;-0.0646;0.035666;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8909.97146994919;250.0;;0;
294.83;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;0.23566;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.023092;-0.073196;-0.06575299999999999;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.058940177005;250.00000000000003;;0;
294.84;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45538;0.0;0.0;0.0;0.0;0.08569299999999999;0.06427000000000001;0.25708000000000003;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.023092;-0.023648;-0.06690700000000001;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.146370750666;250.0;;0;
294.85;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;0.19281;-0.053558;0.0;1.0;0.0;1.0;-0.06115900000000001;-0.073196;-0.06575299999999999;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.233761665935;250.00000000000003;;0;
294.86;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45538;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;0.29993000000000003;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.058852;-0.018018;-0.06575299999999999;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.321112918567;250.00000000000003;;0;
294.87;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44909;0.0;0.0;0.0;0.0;0.096405;0.07498200000000001;0.24637;-0.06427000000000001;0.0;1.0;0.0;1.0;-0.06115900000000001;-0.073196;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.40842450433;250.0;;0;
294.88;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;0.24637;-0.08569299999999999;0.0;1.0;0.0;1.0;-0.013863;-0.073196;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.495696418982;250.0;;0;
294.89;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;0.20352;-0.06427000000000001;0.0;1.0;0.0;1.0;-0.06115900000000001;-0.018018;-0.06575299999999999;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.582928658285;250.0;;0;
294.9;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45852;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;0.31064;-0.096405;0.0;1.0;0.0;1.0;-0.0046346;-0.055179;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.670121217994;250.0;;0;
294.91;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.44909;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;0.19281;-0.06427000000000001;0.0;1.0;0.0;1.0;-0.065773;-0.073196;-0.06575299999999999;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.757274093874;250.0;;0;
294.92;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45224;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;0.24637;-0.06427000000000001;0.0;1.0;0.0;1.0;-0.0046346;-0.073196;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.844387281684;250.0;;0;
294.93;0.0;0.0;9000.0;9000.0;0.0;10.0;54.0;43.0;1.0;1.0;1.0;1.0;0.45852;0.0;0.0;0.0;0.0;0.08569299999999999;0.06427000000000001;0.22495;-0.07498200000000001;0.0;1.0;0.0;1.0;-0.013863;0.0;-0.06575299999999999;0.033444;0.0;1.0;1.0;26.5;26.5;24.663;24.663;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;1800.0;-67.0;90.0;-67.0;1.0;4.0;8.0;100.0;100.0;18.0;1.0;29.91;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8910.931460777187;250.0;;0;
