TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuFpaSelect;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AdaptSdpMachPushBtn;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;FCU_AdaptRangeFo40Nm;FCU_AdaptRangeFo80Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
243.16;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.44595;0.0;0.0;0.0;0.0;0.06427000000000001;0.096405;-0.11783;0.10712;0.0;1.0;0.0;1.0;0.0;-0.0046346;0.018018;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8924.852992831251;237.79428665603933;;0;
243.17;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.43652;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;-0.16068;0.11783;0.0;1.0;0.0;1.0;0.0;-0.042702;0.018018;-0.0646;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8925.110753564284;237.796400310413;;0;
243.18;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.43652;0.0;0.0;0.0;0.0;0.06427000000000001;0.096405;-0.053558;0.053558;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.019144;-0.0646;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8925.368411367446;237.79851304499076;;0;
243.19;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.07498200000000001;0.096405;-0.14995999999999998;0.12854000000000002;0.0;1.0;0.0;1.0;0.0;-0.042702;-0.073196;-0.0646;0.035666;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8925.625966214737;237.80062485963532;;0;
243.2;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;-0.11783;0.10712;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.019144;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8925.883418080153;237.80273575420927;;0;
243.21;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.44595;0.0;0.0;0.0;0.0;0.053558;0.08569299999999999;-0.14995999999999998;0.12854000000000002;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.037161;-0.06575299999999999;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8926.14076693769;237.80484572857515;;0;
243.22;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;-0.07498200000000001;0.06427000000000001;0.0;1.0;0.0;1.0;0.0;-0.0011739;-0.037161;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8926.39801276135;237.8069547825956;;0;
243.23;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;-0.14995999999999998;0.12854000000000002;0.0;1.0;0.0;1.0;0.0;-0.0046346;0.006756600000000001;-0.0646;0.038998000000000005;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8926.655155525128;237.80906291613326;;0;
243.24;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;-0.12854000000000002;0.10712;0.0;1.0;0.0;1.0;0.0;-0.06115900000000001;-0.037161;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8926.912195203022;237.8111701290507;;0;
243.25;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.07498200000000001;0.11783;-0.14995999999999998;0.096405;0.0;1.0;0.0;1.0;0.0;-0.0011739;-0.073196;-0.06690700000000001;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8927.169131769035;237.8132764212105;;0;
243.26;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.07498200000000001;0.06427000000000001;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.019144;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8927.425965197155;237.81538179247525;;0;
243.27;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.06427000000000001;0.10712;-0.14995999999999998;0.10712;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.037161;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8927.682695461386;237.8174862427076;;0;
243.28;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.07498200000000001;0.10712;-0.10712;0.08569299999999999;0.0;1.0;0.0;1.0;0.0;-0.023092;0.0;-0.06575299999999999;0.038998000000000005;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8927.939322535725;237.81958977177015;;0;
243.29;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.07498200000000001;0.096405;-0.12854000000000002;0.096405;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.073196;-0.0646;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8928.19584639417;237.82169237952542;;0;
243.3;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.08569299999999999;0.06427000000000001;-0.06427000000000001;0.07498200000000001;0.0;1.0;0.0;1.0;0.0;-0.021938;0.0;-0.0646;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8928.452267010716;237.82379406583613;;0;
243.31;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.43652;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.13925;0.10712;0.0;1.0;0.0;1.0;0.0;-0.0092488;-0.037161;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8928.708584359367;237.8258948305648;;0;
243.32;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.053558;0.08569299999999999;-0.10712;0.096405;0.0;1.0;0.0;1.0;0.0;-0.047316;-0.037161;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8928.964798414112;237.82799467357404;;0;
243.33;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.1821;0.14995999999999998;0.0;1.0;0.0;1.0;0.0;-0.003481;-0.037161;-0.06690700000000001;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8929.220909148957;237.83009359472652;;0;
243.34;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.44595;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;-0.12854000000000002;0.11783;0.0;1.0;0.0;1.0;0.0;-0.023092;-0.019144;-0.06690700000000001;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8929.476916537897;237.83219159388472;;0;
243.35;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.43337;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;-0.16068;0.14995999999999998;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.037161;-0.0646;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8929.732820554924;237.83428867091135;;0;
243.36;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.13925;0.12854000000000002;0.0;1.0;0.0;1.0;0.0;-0.040395;-0.073196;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8929.988621174045;237.83638482566894;;0;
243.37;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;-0.1821;0.14995999999999998;0.0;1.0;0.0;1.0;0.0;-0.042702;-0.0045044;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8930.244318369254;237.83848005802014;;0;
243.38;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4428;0.0;0.0;0.0;0.0;0.07498200000000001;0.10712;-0.13925;0.10712;0.0;1.0;0.0;1.0;0.0;-0.013863;-0.073196;-0.06690700000000001;0.037888;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8930.499912114547;237.84057436782751;;0;
243.39;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.053558;0.08569299999999999;-0.11783;0.10712;0.0;1.0;0.0;1.0;0.0;-0.042702;0.0;-0.0646;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8930.755402383922;237.8426677549537;;0;
243.4;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;-0.11783;0.08569299999999999;0.0;1.0;0.0;1.0;0.0;-0.042702;-0.073196;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8931.01078915138;237.84476021926127;;0;
243.41;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.17139;0.12854000000000002;0.0;1.0;0.0;1.0;0.0;-0.042702;-0.037161;-0.06575299999999999;0.036777;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8931.266072390916;237.84685176061282;;0;
243.42;0.0;0.0;12000.0;12000.0;0.0;16.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.4396600000000001;0.0;0.0;0.0;0.0;0.08569299999999999;0.08569299999999999;-0.096405;0.07498200000000001;0.0;1.0;0.0;1.0;0.0;-0.049624;-0.037161;-0.06690700000000001;0.035666;0.0;1.0;1.0;26.5;26.5;24.149;24.149;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;12000.0;1.0;0.0;1900.0;140.0;120.0;140.0;1.0;4.0;8.0;100.0;100.0;19.0;0.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;0.0;0.0;8931.521252076529;237.84894237887102;;0;
