Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime,real.ticks.1,real.ticks.2
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,19,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,0,nan,26
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0,nan,nan
7,20445,ND,PFD,MFD,PFD,21850,nan,m,s,35420,7,12,13,successful-1,nan,nan,s,37665,13,16,19,successful-2,1,0,0,nan,0
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,nan,s,37365,13,16,19,successful-2,0,0,0,nan,0
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0,nan,nan
13,20445,ND,PFD,nan,ND,21465,l,nan,nan,49155,22,28,28,successful-1,l,m,s,63330,19,42,25,failed-2,0,5,0,nan,33
5,20460,ND,nan,MFD,ND,21480,l,nan,nan,44505,22,23,28,successful-1,l,nan,nan,57250,34,36,40,successful-2,0,0,0,nan,0
10,20440,ND,PFD,nan,PFD,23385,nan,m,nan,38675,14,18,20,successful-1,nan,m,nan,43735,19,23,25,successful-2,0,0,0,nan,0
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,1,nan,26
4,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1,nan,nan
13,20445,ND,nan,MFD,ND,21465,l,nan,nan,49155,22,28,28,successful-1,l,m,s,61545,34,41,40,failed-2,0,4,1,nan,33
3,20445,nan,PFD,MFD,MFD,21465,nan,nan,s,31565,7,11,13,successful-1,nan,nan,s,37705,13,17,19,successful-2,0,0,1,nan,0
10,20440,ND,PFD,MFD,PFD,23385,nan,m,nan,38675,14,18,20,successful-1,nan,m,nan,44605,19,24,25,successful-2,0,0,1,nan,0
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1,nan,nan
7,20445,nan,PFD,nan,PFD,21080,l,m,s,41000,7,12,13,successful-1,nan,m,s,50370,19,29,25,successful-2,4,4,1,nan,22
9,20450,ND,PFD,MFD,ND,23780,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,42,40,failed-2,0,8,1,nan,27
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,46170,19,25,25,successful-2,2,2,2,nan,22
7,20445,nan,PFD,nan,PFD,21080,nan,m,s,35400,7,13,13,successful-1,l,nan,s,39600,13,19,19,successful-2,1,1,2,nan,17
10,20440,nan,PFD,MFD,PFD,21460,nan,m,nan,38675,14,18,20,successful-1,l,m,nan,46480,19,25,25,successful-2,0,1,2,nan,24
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2,nan,nan
5,20435,ND,nan,MFD,ND,21455,l,nan,nan,44000,22,23,28,successful-1,l,nan,nan,57250,34,36,40,successful-2,0,0,2,nan,0
2,20445,ND,PFD,nan,PFD,21850,nan,m,nan,40620,14,20,20,successful-1,l,m,s,62230,13,42,19,failed-2,0,8,2,nan,27
9,20435,ND,nan,nan,ND,21070,l,nan,nan,42695,22,22,28,successful-1,l,m,s,63330,13,42,19,failed-2,0,8,2,nan,27
13,20445,ND,PFD,nan,ND,21465,l,nan,nan,49155,22,28,28,successful-1,l,nan,s,63330,13,42,19,failed-2,0,5,2,nan,33
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3,nan,nan
9,20470,ND,PFD,nan,ND,21490,l,nan,nan,42880,22,22,28,successful-1,l,m,s,62330,13,42,19,failed-2,0,7,3,nan,29
3,20445,ND,PFD,MFD,MFD,22235,nan,nan,s,31585,7,10,13,successful-1,nan,nan,s,37575,13,16,19,successful-2,0,0,3,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3,nan,nan
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,40860,7,12,13,successful-1,nan,m,s,50240,19,29,25,successful-2,4,4,3,nan,22
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,19,20,successful-1,l,m,s,62690,34,41,40,failed-2,0,8,3,nan,27
13,20445,ND,PFD,MFD,ND,21850,l,m,nan,53180,14,32,20,failed-1,l,m,s,62350,13,42,19,failed-2,2,4,3,nan,29
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38610,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,0,0,3,nan,0
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,4,nan,0
13,20445,ND,nan,MFD,ND,21465,l,m,nan,51020,22,28,28,successful-1,l,m,s,63270,19,42,25,failed-2,1,5,4,nan,33
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4,nan,nan
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,10,13,successful-1,nan,nan,s,37645,13,16,19,successful-2,0,0,4,nan,0
7,20445,nan,PFD,MFD,PFD,22235,l,m,s,39020,7,12,13,successful-1,l,m,s,48390,19,27,25,successful-2,3,4,4,nan,20
9,20435,ND,PFD,MFD,ND,22610,l,nan,nan,42880,22,22,28,successful-1,l,m,s,61355,34,41,40,failed-2,0,7,4,nan,28
2,20445,nan,PFD,MFD,PFD,21465,nan,m,nan,40660,14,20,20,successful-1,l,m,s,62015,34,41,40,failed-2,0,8,4,nan,26
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4,nan,nan
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44075,22,23,28,successful-1,l,m,s,62395,34,41,40,successful-2,0,2,5,nan,38
2,20445,ND,PFD,nan,PFD,21465,nan,m,s,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,5,nan,26
10,20440,ND,PFD,MFD,PFD,22230,nan,m,nan,38695,14,18,20,successful-1,nan,m,nan,43600,19,22,25,successful-2,0,0,5,nan,0
13,20445,ND,PFD,MFD,ND,22620,l,nan,nan,49320,22,28,28,successful-1,l,nan,nan,56405,34,35,40,successful-2,0,0,5,nan,0
7,20445,ND,PFD,MFD,PFD,22620,nan,m,s,37300,7,13,13,successful-1,nan,nan,s,39220,13,18,19,successful-2,2,0,5,nan,0
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,nan,s,39475,13,18,19,successful-2,0,0,5,nan,0
9,20435,ND,nan,MFD,ND,22610,l,nan,nan,42755,22,22,28,successful-1,l,m,s,62430,13,42,19,failed-2,0,8,5,nan,27
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5,nan,nan
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42755,22,22,28,successful-1,l,m,s,62770,13,42,19,failed-2,0,7,6,nan,29
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6,nan,nan
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,20,20,successful-1,l,m,s,62260,13,41,19,failed-2,0,7,6,nan,29
3,20445,ND,PFD,MFD,MFD,22620,nan,nan,s,31545,7,11,13,successful-1,nan,nan,s,37635,13,17,19,successful-2,0,0,6,nan,0
10,20440,ND,PFD,MFD,PFD,23770,nan,m,nan,38635,14,18,20,successful-1,nan,m,nan,43640,19,23,25,successful-2,0,0,6,nan,0
5,20435,ND,PFD,MFD,ND,24150,l,nan,nan,44090,22,23,28,successful-1,l,nan,nan,57250,34,36,40,successful-2,0,0,6,nan,0
7,20445,ND,PFD,MFD,PFD,24160,l,m,s,42940,7,12,13,successful-1,nan,m,s,54180,19,32,25,successful-2,5,5,6,nan,23
13,20445,ND,PFD,nan,ND,23775,l,nan,nan,49405,22,28,28,successful-1,l,nan,nan,63440,34,42,40,failed-2,0,5,6,nan,33
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,61465,13,41,19,failed-2,0,4,7,nan,33
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7,nan,nan
7,20445,nan,PFD,nan,PFD,21080,nan,m,s,35400,7,13,13,successful-1,nan,nan,s,37740,13,17,19,successful-2,1,0,7,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7,nan,nan
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7,nan,nan
2,20445,ND,PFD,nan,PFD,21465,nan,m,nan,40660,14,19,20,successful-1,l,m,s,62205,13,41,19,failed-2,0,8,7,nan,26
10,20440,ND,PFD,nan,PFD,21460,nan,m,nan,38675,14,18,20,successful-1,nan,m,nan,45365,19,25,25,successful-2,0,0,7,nan,0
3,20445,ND,PFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,8,nan,0
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,39165,13,18,19,successful-2,2,0,8,nan,0
4,20445,nan,nan,MFD,MFD,21080,nan,nan,s,28870,7,8,13,successful-1,l,m,s,39600,13,18,19,successful-2,0,2,8,nan,15
13,20445,ND,nan,MFD,ND,21465,l,nan,nan,49155,22,28,28,successful-1,l,m,s,57890,34,37,40,successful-2,0,2,8,nan,34
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8,nan,nan
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44035,22,23,28,successful-1,l,nan,nan,57290,34,36,40,successful-2,0,0,8,nan,0
2,20445,ND,PFD,nan,PFD,22235,nan,m,nan,40680,14,20,20,successful-1,l,m,s,62980,19,42,25,failed-2,0,7,8,nan,29
7,20445,ND,PFD,MFD,PFD,21850,nan,m,s,39150,7,13,13,successful-1,l,m,s,50390,19,29,25,successful-2,3,5,8,nan,20
4,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
2,20445,nan,PFD,nan,PFD,21080,l,m,nan,42370,14,19,20,successful-1,l,m,s,62820,19,41,25,failed-2,1,8,9,nan,27
3,20445,ND,nan,MFD,MFD,21465,nan,nan,s,31565,7,11,13,successful-1,nan,nan,s,37795,13,17,19,successful-2,0,0,9,nan,0
13,20445,ND,PFD,MFD,ND,22620,l,nan,nan,49320,22,28,28,successful-1,l,nan,nan,57085,34,36,40,successful-2,0,0,9,nan,0
10,20440,ND,PFD,MFD,PFD,22615,nan,m,nan,38655,14,18,20,successful-1,nan,m,nan,43660,19,23,25,successful-2,0,0,9,nan,0
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
