Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
4,20460,nan,nan,MFD,MFD,21095,l,m,s,32720,7,8,13,successful-1,l,m,s,39210,13,18,19,successful-2,2,2,0
2,20445,ND,PFD,nan,PFD,21465,nan,m,s,42530,14,20,20,successful-1,l,m,s,62210,13,42,19,failed-2,1,8,0
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0
7,20445,ND,PFD,MFD,PFD,21850,nan,m,s,37280,7,13,13,successful-1,nan,nan,s,39200,13,19,19,successful-2,2,0,0
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,m,s,50820,19,30,25,successful-2,0,5,0
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,18,20,successful-1,nan,m,nan,43660,19,23,25,successful-2,0,0,0
13,20445,ND,PFD,nan,ND,23390,l,nan,nan,49390,22,29,28,failed-1,nan,m,s,61405,13,41,19,failed-2,0,4,0
5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1
4,20480,ND,nan,MFD,MFD,21500,nan,nan,s,28975,7,8,13,successful-1,nan,nan,s,35480,13,14,19,successful-2,0,0,1
10,20440,nan,PFD,MFD,PFD,21460,nan,m,nan,38635,14,17,20,successful-1,l,m,nan,45510,19,24,25,successful-2,0,1,1
13,20445,ND,PFD,MFD,ND,22235,l,nan,nan,49175,22,28,28,successful-1,l,m,s,62225,34,41,40,failed-2,0,2,1
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,20,20,successful-1,l,m,s,62195,13,41,19,failed-2,0,8,1
7,20445,nan,PFD,nan,PFD,21080,l,m,s,41000,7,12,13,successful-1,l,m,s,52240,19,31,25,successful-2,4,5,1
3,20445,nan,PFD,MFD,MFD,23390,nan,nan,s,31565,7,11,13,successful-1,nan,nan,s,38085,13,17,19,successful-2,0,0,1
9,20450,ND,PFD,MFD,ND,24935,l,nan,nan,42670,22,22,28,successful-1,l,nan,nan,55160,34,34,40,successful-2,0,2,1
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,nan,nan,56295,34,35,40,successful-2,0,0,2
3,20445,ND,nan,MFD,MFD,23390,nan,nan,s,31565,7,11,13,successful-1,nan,nan,s,37705,13,17,19,successful-2,0,0,2
7,20445,nan,PFD,MFD,PFD,24160,l,m,s,42940,7,13,13,successful-1,nan,m,s,54180,19,33,25,successful-2,5,5,2
9,20460,ND,PFD,nan,ND,23790,l,nan,nan,42880,22,22,28,successful-1,l,m,s,63140,34,41,40,failed-2,0,8,2
2,20445,nan,PFD,MFD,PFD,22620,nan,m,nan,40640,14,20,20,successful-1,l,m,s,62240,19,41,25,failed-2,0,8,2
10,20440,nan,nan,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,58780,34,37,40,successful-2,0,2,3
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3
2,20445,ND,PFD,nan,PFD,21465,nan,m,nan,40660,14,20,20,successful-1,l,m,s,61265,13,41,19,failed-2,0,6,3
4,20445,ND,PFD,MFD,MFD,21850,nan,nan,s,28975,7,8,13,successful-1,nan,nan,s,35480,13,14,19,successful-2,0,0,3
7,20445,nan,PFD,MFD,PFD,23005,l,m,s,39130,7,13,13,successful-1,nan,m,s,46640,19,26,25,successful-2,3,3,3
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,18,20,successful-1,nan,m,nan,43660,19,23,25,successful-2,0,0,3
3,20445,nan,PFD,MFD,MFD,23775,nan,nan,s,31710,7,11,13,successful-1,nan,nan,s,39685,13,19,19,successful-2,0,0,3
9,20460,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,17,20,successful-1,l,m,nan,45530,19,24,25,successful-2,0,1,4
9,20460,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4
7,20445,nan,PFD,nan,PFD,21080,l,m,s,41000,7,12,13,successful-1,l,m,s,52240,19,31,25,successful-2,4,5,4
