Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,0
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,0
4,20460,nan,nan,MFD,MFD,21095,l,m,s,32720,7,8,13,successful-1,l,m,s,39210,13,18,19,successful-2,2,2,0
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44305,22,23,28,successful-1,l,m,s,61845,34,40,40,successful-2,0,2,0
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49455,22,29,28,failed-1,nan,m,s,61335,13,41,19,failed-2,0,3,0
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,17,20,successful-1,l,m,s,47320,19,26,25,successful-2,1,2,0
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41360,13,20,19,successful-2,2,2,0
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47990,19,27,25,successful-2,1,2,1
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,nan,m,s,61730,19,41,25,failed-2,0,1,1
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41460,13,21,19,successful-2,2,2,1
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,1
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42860,22,22,28,successful-1,l,m,s,63330,19,42,25,failed-2,0,6,1
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,1
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49455,22,29,28,failed-1,l,m,s,62235,34,42,40,failed-2,0,4,2
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,19,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,2
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47320,19,27,25,successful-2,1,2,2
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44285,22,23,28,successful-1,l,m,s,61835,34,41,40,failed-2,0,2,2
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,nan,43540,19,23,25,successful-2,2,1,2
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,41,40,failed-2,0,8,2
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,2
4,20480,nan,nan,MFD,MFD,21115,l,m,s,32740,7,8,13,successful-1,l,m,s,39230,13,19,19,successful-2,2,2,2
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,3
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,3
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42900,22,22,28,successful-1,l,m,s,62680,34,42,40,failed-2,0,8,3
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,17,20,successful-1,l,m,s,48760,19,27,25,successful-2,1,2,3
4,20445,nan,nan,MFD,MFD,21080,l,m,s,32700,7,8,13,successful-1,l,m,s,39190,13,18,19,successful-2,2,2,3
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41070,13,20,19,successful-2,2,2,3
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,58780,34,38,40,successful-2,0,2,3
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,4
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,4
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49600,22,29,28,failed-1,l,m,s,61525,34,41,40,failed-2,0,4,4
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41940,13,21,19,successful-2,2,2,4
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4
4,20460,nan,nan,MFD,MFD,21095,l,m,s,32720,7,8,13,successful-1,l,m,s,39210,13,18,19,successful-2,2,2,4
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,4
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47510,19,26,25,successful-2,1,2,4
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47320,19,26,25,successful-2,1,2,5
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,63250,34,42,40,failed-2,0,5,5
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,5
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,42,25,failed-2,1,8,5
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41170,13,20,19,successful-2,2,2,5
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,42,40,failed-2,0,8,5
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,6
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,58590,34,38,40,successful-2,0,2,6
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,nan,41330,19,20,25,successful-2,2,1,6
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47220,19,26,25,successful-2,1,2,6
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,6
