Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime,real.ticks.1,real.ticks.2
13,20445,ND,PFD,MFD,ND,21850,l,m,s,52930,14,33,20,failed-1,l,m,s,62175,19,42,25,failed-2,2,4,0,nan,29
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,0,nan,0
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,0,nan,18
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0,nan,nan
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,38295,13,18,19,successful-2,2,0,0,nan,0
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,0,nan,nan
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,42,40,failed-2,1,8,0,nan,27
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,1,nan,26
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,37340,13,16,19,successful-2,2,0,1,nan,0
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42735,22,22,28,successful-1,l,m,s,61775,13,41,19,failed-2,0,7,1,nan,28
13,20445,ND,PFD,MFD,ND,21850,l,m,s,53180,14,32,20,failed-1,l,m,s,62350,19,42,25,failed-2,2,4,1,nan,29
4,20480,nan,nan,MFD,MFD,21115,l,m,s,32640,7,8,13,successful-1,nan,nan,s,35315,13,14,19,successful-2,2,0,1,nan,0
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44170,22,23,28,successful-1,l,m,s,60655,34,40,40,successful-2,0,2,1,nan,36
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,1,nan,18
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,1,nan,0
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2,nan,nan
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,2,nan,18
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,60425,13,41,19,failed-2,1,7,2,nan,27
13,20445,ND,PFD,MFD,ND,21850,l,m,s,53180,14,32,20,failed-1,l,m,s,62350,19,42,25,failed-2,2,4,2,nan,29
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,39935,13,19,19,successful-2,2,0,2,nan,0
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,2,nan,0
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2,nan,nan
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2,nan,nan
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49175,22,28,28,successful-1,nan,nan,s,nan,nan,nan,nan,nan,0,0,3,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,39545,13,19,19,successful-2,2,0,3,nan,0
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,3,nan,26
9,20460,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3,nan,nan
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3,nan,nan
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,3,nan,nan
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,3,nan,18
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,17,20,successful-1,nan,m,nan,43620,19,22,25,successful-2,1,0,3,nan,0
4,20480,nan,nan,MFD,MFD,21115,l,m,s,32640,7,8,13,successful-1,nan,nan,s,37225,13,16,19,successful-2,2,0,4,nan,0
