Participant,Time.alert,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,NaN,NaN,N.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,0
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28960,15,8,21,failed-1,nan,nan,n,36385,22,15,28,failed-2,0,0,0
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,0
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,0
9,20470,normative,nan,nan,nan,nan,nan,nan,n,42495,15,22,21,failed-1,nan,nan,n,49985,22,29,28,failed-2,0,0,0
5,20435,normative,nan,nan,nan,nan,nan,nan,n,43015,15,22,21,failed-1,nan,nan,n,50145,22,29,28,failed-2,0,0,0
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,0
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49975,22,29,28,failed-2,0,0,0
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28980,15,8,21,failed-1,nan,nan,n,40345,22,19,28,failed-2,0,0,1
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,16,28,failed-2,0,0,1
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,1
9,20470,normative,nan,nan,nan,nan,nan,nan,n,42910,15,22,21,failed-1,nan,nan,n,48165,22,27,28,successful,0,0,1
5,20435,normative,nan,nan,nan,nan,nan,nan,n,43715,15,22,21,failed-1,nan,nan,n,50085,22,29,28,failed-2,0,0,1
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42100,15,22,21,failed-1,nan,nan,n,48890,22,29,28,failed-2,0,0,1
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,22,28,successful,0,0,1
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,1
9,20450,normative,nan,nan,nan,nan,nan,nan,n,42470,15,22,21,failed-1,nan,nan,n,48525,22,28,28,successful,0,0,2
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,2
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,2
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,2
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28980,15,8,21,failed-1,nan,nan,n,36015,22,16,28,failed-2,0,0,2
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,2
5,20435,normative,nan,nan,nan,nan,nan,nan,n,42640,15,22,21,failed-1,nan,nan,n,49750,22,29,28,failed-2,0,0,2
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42435,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,2
9,20435,normative,nan,nan,nan,nan,nan,nan,n,42470,15,22,21,failed-1,nan,nan,n,48045,22,27,28,successful,0,0,3
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,3
