TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1023.6;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.54027;0.09640499999999999;0.08569299999999999;0.28922;-0.032135000000000004;1.0;1.0;0.0;-0.03232;0.0;-0.054217999999999995;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.8441819033321;120.53716590235564;;0;0
1023.61;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.5371199999999999;0.10712;0.07498200000000001;0.32135;-0.042847;1.0;1.0;0.0;-0.081923;-0.018018;-0.055371000000000004;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.8333523628053;120.53663732646578;;0;0
1023.62;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.09640499999999999;0.09640499999999999;0.29993000000000003;-0.032135000000000004;1.0;1.0;0.0;-0.023091999999999998;-0.02027;-0.055371000000000004;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.8225282205028;120.53610900224315;;0;0
1023.63;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.09640499999999999;0.07498200000000001;0.33205999999999997;-0.053558;1.0;1.0;0.0;-0.041549;-0.018018;-0.054217999999999995;0.024558;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.811709476443;120.53558092970052;;0;0
1023.64;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.5371199999999999;0.09640499999999999;0.08569299999999999;0.2785;-0.021422999999999998;1.0;1.0;0.0;-0.077309;-0.011261;-0.055371000000000004;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.8008961306427;120.53505310885058;;0;0
1023.65;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.10712;0.08569299999999999;0.28922;-0.021422999999999998;1.0;1.0;0.0;-0.043856;-0.036035000000000005;-0.054217999999999995;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.7900881831208;120.53452553970594;;0;0
1023.66;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.10712;0.08569299999999999;0.2785;-0.021422999999999998;1.0;1.0;0.0;-0.0046346;0.0078827;-0.054217999999999995;0.024558;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.7792856338954;120.53399822227944;;0;0
1023.67;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.5371199999999999;0.09640499999999999;0.09640499999999999;0.31064;-0.042847;1.0;1.0;0.0;-0.08884500000000001;-0.013512999999999999;-0.055371000000000004;0.025668;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.768488482983;120.53347115658366;;0;0
1023.68;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.09640499999999999;0.08569299999999999;0.26779000000000003;0.010712000000000001;1.0;1.0;0.0;-0.07961599999999999;-0.073196;-0.055371000000000004;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.7576967304026;120.53294434263135;;0;0
1023.69;0.0;0.0;3000.0;3000.0;0.0;11.0;12.0;48.0;1.0;1.0;1.0;1.0;1.0;0.5371199999999999;0.09640499999999999;0.09640499999999999;0.31064;-0.053558;1.0;1.0;0.0;-0.09576599999999999;-0.032657;-0.054217999999999995;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.663;24.663;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;73.0;30.0;73.0;2.2;4.0;8.0;131.0;131.0;1.0;29.91;1.0;0.0;1.0;0.0;1310.7469103761725;120.53241778043522;;0;0
