TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;BMACHFCUSELOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
888.44;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54655;0.07498200000000001;0.10712;-0.14995999999999998;0.19280999999999998;0.0;1.0;1.0;0.0;2.8008;0.69255;-0.063446;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;786.5775634141643;130.63984632633907;;0;0
888.45;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5434100000000001;0.10712;0.09640499999999999;-0.14995999999999998;0.1821;0.0;1.0;1.0;0.0;2.7905;0.70719;-0.062291999999999986;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;786.4133549783063;130.63459834957305;;0;0
888.46;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54655;0.07498200000000001;0.09640499999999999;-0.1821;0.1821;0.0;1.0;1.0;0.0;2.8377;0.67453;-0.062291999999999986;0.050107;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;786.2491666578617;130.62935029886341;;0;0
888.47;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.10712;-0.14995999999999998;0.17139000000000001;0.0;1.0;1.0;0.0;2.8228;0.6385;-0.061139;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;786.0849984540519;130.62410217421302;;0;0
888.48;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5434100000000001;0.08569299999999999;0.10712;-0.17139000000000001;0.19280999999999998;0.0;1.0;1.0;0.0;2.8193;0.62949;-0.061139;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.9208503681012;130.61885397562492;;0;0
888.49;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5434100000000001;0.08569299999999999;0.10712;-0.16068;0.1821;0.0;1.0;1.0;0.0;2.7916;0.59345;-0.062291999999999986;0.053439;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.7567224012332;130.61360570310197;;0;0
888.5;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.07498200000000001;0.09640499999999999;-0.1821;0.1821;0.0;1.0;1.0;0.0;2.7639;0.6238600000000001;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.5926145546704;130.60835735664716;;0;0
888.51;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5434100000000001;0.08569299999999999;0.10712;-0.16068;0.17139000000000001;0.0;1.0;1.0;0.0;2.7224;0.57318;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.4285268296362;130.60310893626345;;0;0
888.52;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.053558;0.09640499999999999;-0.19280999999999998;0.1821;0.0;1.0;1.0;0.0;2.6993;0.5653;-0.061139;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.2644592273542;130.59786044195377;;0;0
888.53;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5434100000000001;0.09640499999999999;0.10712;-0.16068;0.19280999999999998;0.0;1.0;1.0;0.0;2.6716;0.5585399999999999;-0.062291999999999986;0.050107;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;785.1004117490484;130.5926118737211;;0;0
