TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1030.48;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44595;0.10712;0.08569299999999999;0.23565999999999998;0.010712000000000001;0.0;1.0;1.0;0.0;-0.075002;-0.073196;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.7714264371286;130.23514406860667;;0;0
1030.49;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.4428;0.11782999999999999;0.09640499999999999;0.26779000000000003;-0.010712000000000001;0.0;1.0;1.0;0.0;-0.06115900000000001;-0.037161;-0.0646;0.029001;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.667359866539;130.23491103726292;;0;0
1030.5;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44595;0.10712;0.08569299999999999;0.16068;0.042847;0.0;1.0;1.0;0.0;-0.06115900000000001;-0.023648;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.5632963994385;130.2346781193823;;0;0
1030.51;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.45224;0.11782999999999999;0.08569299999999999;0.2785;0.0;0.0;1.0;1.0;0.0;-0.0046346;0.0;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.4592360359454;130.23444531496784;;0;0
1030.52;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44595;0.09640499999999999;0.08569299999999999;0.24636999999999998;0.0;0.0;1.0;1.0;0.0;-0.031167;-0.037161;-0.0646;0.029001;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.3551787761803;130.23421262402272;;0;0
1030.53;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44909;0.08569299999999999;0.08569299999999999;0.2785;-0.032135000000000004;0.0;1.0;1.0;0.0;-0.042702;-0.019144;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.2511246202585;130.23398004655002;;0;0
1030.54;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44909;0.09640499999999999;0.10712;0.19280999999999998;0.032135000000000004;0.0;1.0;1.0;0.0;-0.070388;-0.073196;-0.0646;0.031223;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.1470735683006;130.2337475825527;;0;0
1030.55;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.4396600000000001;0.10712;0.09640499999999999;0.26779000000000003;0.0;0.0;1.0;1.0;0.0;-0.06115900000000001;-0.073196;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1601.0430256204247;130.233515232034;;0;0
1030.56;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44595;0.08569299999999999;0.08569299999999999;0.24636999999999998;0.0;0.0;1.0;1.0;0.0;-0.040395;-0.037161;-0.063446;0.031223;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1600.9389807767493;130.23328299499687;;0;0
1030.57;0.0;0.0;3000.0;3000.0;0.0;10.0;31.0;48.0;1.0;1.0;1.0;1.0;0.44909;0.10712;0.07498200000000001;0.29993000000000003;-0.021422999999999998;0.0;1.0;1.0;0.0;-0.0046346;-0.073196;-0.063446;0.030112;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-2400.0;20.0;30.0;20.0;1.0;4.0;8.0;133.0;133.0;-24.0;1.0;29.91;1.0;0.0;0.0;1.0;1600.834939037392;130.2330508714445;;0;0
