TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AdaptSpdKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
864.64;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.09640499999999999;0.09640499999999999;0.25708000000000003;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.024245;-0.037161;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.713128497137;120.881571123544;;0;0
864.65;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.10712;0.08569299999999999;0.29993000000000003;-0.032135000000000004;1.0;1.0;1.0;0.0;0.0;-0.036933999999999995;-0.038287;-0.055371000000000004;0.023447;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6974596367634;120.88070506309714;;0;0
864.66;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5497;0.10712;0.09640499999999999;0.1821;0.042847;1.0;1.0;1.0;0.0;0.0;-0.023091999999999998;-0.037161;-0.056525;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6817985522537;120.87983941284766;;0;0
864.67;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5497;0.11782999999999999;0.09640499999999999;0.2785;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.073196;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6661452436695;120.87897417281845;;0;0
864.68;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.10712;0.08569299999999999;0.22495;0.021422999999999998;1.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.037161;-0.055371000000000004;0.024558;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6504997110706;120.8781093430325;;0;0
864.69;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5497;0.10712;0.08569299999999999;0.2785;-0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.040395;-0.037161;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6348619545172;120.87724492351282;;0;0
864.7;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.10712;0.08569299999999999;0.1821;0.053558;1.0;1.0;1.0;0.0;0.0;-0.041549;0.009008799999999999;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6192319740712;120.87638091428232;;0;0
864.71;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.10712;0.09640499999999999;0.29993000000000003;-0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.009008799999999999;-0.053064;0.024558;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.6036097697925;120.87551731536392;;0;0
864.72;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.10712;0.08569299999999999;0.2142300000000001;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.06115900000000001;-0.073196;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5879953417411;120.87465412678064;;0;0
864.73;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.09640499999999999;0.09640499999999999;0.2785;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.073196;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5723886899789;120.87379134855541;;0;0
864.74;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.10712;0.08569299999999999;0.2142300000000001;0.021422999999999998;1.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.032657;-0.055371000000000004;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5567898145648;120.87292898071121;;0;0
864.75;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.54655;0.10712;0.10712;0.23565999999999998;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.019144;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5411987155605;120.87206702327094;;0;0
864.76;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.54655;0.09640499999999999;0.09640499999999999;0.24636999999999998;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.041666;-0.053064;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5256153930263;120.87120547625764;;0;0
864.77;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.11782999999999999;0.09640499999999999;0.22495;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.011261;-0.054217999999999995;0.024558;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.5100398470227;120.87034433969423;;0;0
864.78;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5497;0.09640499999999999;0.08569299999999999;0.16068;0.06427000000000001;1.0;1.0;1.0;0.0;0.0;-0.06115900000000001;-0.073196;-0.054217999999999995;0.026779;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.494472077611;120.86948361360369;;0;0
864.79;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.09640499999999999;0.09640499999999999;0.24636999999999998;0.0;1.0;1.0;1.0;0.0;0.0;-0.023091999999999998;-0.037161;-0.055371000000000004;0.026779;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4789120848504;120.86862329800891;;0;0
864.8;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.10712;0.09640499999999999;0.23565999999999998;0.0;1.0;1.0;1.0;0.0;0.0;-0.070388;-0.073196;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4633598688024;120.86776339293293;;0;0
864.81;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.11782999999999999;0.08569299999999999;0.26779000000000003;-0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.073196;-0.053064;0.024558;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4478154295273;120.8669038983987;;0;0
864.82;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.11782999999999999;0.09640499999999999;0.17139000000000001;0.053558;1.0;1.0;1.0;0.0;0.0;-0.06115900000000001;-0.037161;-0.054217999999999995;0.024558;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4322787670856;120.86604481442909;;0;0
864.83;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.11782999999999999;0.10712;0.23565999999999998;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.037161;-0.055371000000000004;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4167498815382;120.86518614104715;;0;0
864.84;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5497;0.10712;0.09640499999999999;0.22495;0.021422999999999998;1.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.022522;-0.055371000000000004;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.4012287729456;120.86432787827582;;0;0
864.85;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.10712;0.09640499999999999;0.2785;-0.032135000000000004;1.0;1.0;1.0;0.0;0.0;-0.041549;0.0022521999999999998;-0.054217999999999995;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.385715441368;120.86347002613803;;0;0
864.86;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55599;0.09640499999999999;0.10712;0.17139000000000001;0.06427000000000001;1.0;1.0;1.0;0.0;0.0;-0.041549;-0.038287;-0.054217999999999995;0.027889999999999998;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.370209886866;120.86261258465677;;0;0
864.87;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.10712;0.09640499999999999;0.26779000000000003;0.0;1.0;1.0;1.0;0.0;0.0;-0.0046346;-0.011261;-0.054217999999999995;0.026779;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.3547121095007;120.86175555385498;;0;0
864.88;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.5622699999999999;0.08569299999999999;0.09640499999999999;0.22495;0.010712000000000001;1.0;1.0;1.0;0.0;0.0;-0.0046346;-0.009008799999999999;-0.055371000000000004;0.025668;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.3392221093325;120.86089893375559;;0;0
864.89;0.0;0.0;3000.0;3000.0;0.0;11.0;21.0;28.0;1.0;1.0;1.0;1.0;0.55284;0.10712;0.08569299999999999;0.25708000000000003;0.0;1.0;1.0;1.0;0.0;0.0;-0.0046346;-0.019144;-0.055371000000000004;0.026779;0.0;1.0;1.0;26.5;26.5;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;128.0;30.0;128.0;2.21;4.0;8.0;131.0;131.0;0.0;1.0;29.93;1.0;0.0;0.0;1315.3237398864214;120.86004272438166;;0;0
